Deep Learning	Deep Learning ist tatsächlich ein Teilbereich des maschinellen Lernens, der von biologischen Neuronen inspiriert wurde.	AI Across Domains - Kompetenzen für das KI-Zeitalter (WiSe25/26)
Künstliche Neuronale Netze	Obwohl viele verschiedene Technologien die Grundlage für künstliche neuronale Netze gelegt haben, ist ihre Kernstruktur von biologischen Neuronen inspiriert, daher der Name "Neuronale Netze".	https://giphy.com/gifs/harvard-brain-neuron-9N2UvCx7wXLnG
Black-Box-Modelle	Black-Box-Modelle können manchmal sehr genau sein, aber ihr Entscheidungsprozess und die Begründung hinter ihren Entscheidungen ist nicht interpretierbar.	Evilaicartoons. Terminology: Black Box. Online verfügbar unter: https://www.evilaicartoons.com/archive/terminology-black-box (letzter Zugriff: 15. Dezember 2024).
Künstliche Neuronale Netze	Die drei Schichten sind Eingabe-, verborgene und Ausgabeschichten. Die verborgene Schicht wird "verborgen" genannt, weil sie im Gegensatz zu "Eingabe" und "Ausgabe" keinen direkten Kontakt mit der Welt außerhalb des neuronalen Netzwerks hat.	Sarker, Iqbal H. "Deep Learning: A Comprehensive Overview on Techniques, Taxonomy, Applications and Research Directions." SN Computer Science 2, no. 6 (August 18, 2021): 420. https://doi.org/10.1007/s42979-021-00815-1.
Gewichte	Gewichte werden mit jedem Eingang zu einem Neuron multipliziert, bevor sie alle zusammen addiert werden. Gewichte repräsentieren die Bedeutung jedes Eingangs für die Aktivierung dieses Neurons (oder Knotens).	Sarker, Iqbal H. "Deep Learning: A Comprehensive Overview on Techniques, Taxonomy, Applications and Research Directions." SN Computer Science 2, no. 6 (August 18, 2021): 420. https://doi.org/10.1007/s42979-021-00815-1.
Tiefe Neuronale Netze	Je mehr Schichten das neuronale Netzwerk hat, desto tiefer wird es!	Sarker, Iqbal H. "Deep Learning: A Comprehensive Overview on Techniques, Taxonomy, Applications and Research Directions." SN Computer Science 2, no. 6 (August 18, 2021): 420. https://doi.org/10.1007/s42979-021-00815-1.
Transparenz und Erklärbarkeit	Transparenz bedeutet, dass Menschen verstehen können, wie ein KI-System entwickelt, trainiert, betrieben und in einem spezifischen Anwendungskontext eingesetzt wird - zum Beispiel, damit Verbraucher fundiertere Entscheidungen darüber treffen können, ob sie es verwenden sollen. Erklärbarkeit bezieht sich dagegen auf die Fähigkeit betroffener Personen zu verstehen, wie genau eine spezifische Ausgabe oder Entscheidung des KI-Systems produziert wurde.	The Guardian. (2024, 18. Oktober). US-Behörden untersuchen Teslas selbstfahrendes Auto. Abgerufen am 16. Dezember 2024, von https://www.theguardian.com/technology/2024/oct/18/tesla-self-driving-car-investigation.
Vorwärtspass	Bei der Forwardpropagation werden die Eingabedaten durch das neuronale Netzwerk geleitet, um eine Ausgabe zu erzeugen. Nachdem das Netzwerk eine Ausgabe erzeugt hat, wird diese mit dem tatsächlichen Ergebnis verglichen - also dem Fehler.	AI Across Domains - Kompetenzen für das KI-Zeitalter (WiSe25/26)
Backpropagation	Backpropagation ist ein Algorithmus, der zum Trainieren von Feedforward-Neuronalen Netzen verwendet wird. Es ist eine iterative Methode, die die Gewichtsparameter des Netzwerks durch Berechnung des Gradienten einer Fehlerfunktion anpasst. Zuerst wird ein Fehlerwert für jede Ausgabeeinheit berechnet, d.h. die Differenz zwischen dem tatsächlichen Wert und dem vorhergesagten Wert. Dieser Fehler wird dann rückwärts durch das Netzwerk propagiert - von der Ausgabeschicht zur Eingabeschicht. Während dieses Rückwärtspasses werden die Gewichte so modifiziert, dass der Fehler bei zukünftigen Vorhersagen reduziert wird. Auf diese Weise lernt das Netzwerk allmählich, genauere Vorhersagen zu treffen.	University of Toronto. (o. J.). Picture of Geoffrey Hinton. Accessed on 14. December 2024, from https://www.uc.utoronto.ca/staff-faculty-profile/geoffrey-hinton.
Black-Box-Modelle	Black-Box-Modelle können manchmal sehr genau sein, aber ihr Entscheidungsprozess und die Begründung hinter ihren Entscheidungen ist nicht interpretierbar.	Evilaicartoons. Terminology: Black Box. Online verfügbar unter: https://www.evilaicartoons.com/archive/terminology-black-box (letzter Zugriff: 15. Dezember 2024).

